İlan başlığı,Fiyat,Oda sayısı,Metrekare,Mahalle / Konum bilgisi,Yayınlanma tarihi
Meydan Avm yakınında ve çarşı merkezde 3+1 bahçe kat daire.,7.500 TL,3+1,96,"Kutlubey
Bağlar Mh.","01 Aralık
2025"
32 ARTIBİR EMLAKTAN FATİH MAHALLESİ'NDE GÜVENLİKLİ CAM BALKONLU,30.000 TL,3+1,171,"Anadolu
Fatih Mah.","02 Aralık
2025"
ISPARTA KUTLUBEY'DE 1+0 KİRALIK APART,8.500 TL,Stüdyo (1+0),35,Kutlubey,"03 Aralık
2025"
,,,,,
MERKEZDE KİRALIK APART DAİRE,7.500 TL,Stüdyo (1+0),30,"Anadolu
Bahçelievler Mh.","01 Aralık
2025"
Sahibinden kiralık daire,17.000 TL,1+1,85,"Çelebiler
Gülcü Mh.","01 Aralık
2025"
HIZIRBEYDE GÜZEL KONUMDA KİRALIK ARA KAT GENİŞ 2+1 DAİRE,10.000 TL,2+1,120,"Kutlubey
Hızırbey Mh.","01 Aralık
2025"
RAMADA OTEL ARKASINDA GÜZEL KONUMDA KİRALIK 1+1 APART,9.500 TL,1+1,45,"Anadolu
Bahçelievler Mh.","01 Aralık
2025"
32 ARTIBİR EMLAKTAN BÖCÜZADE PARKI YANI HERŞEY DAHİL LÜKS APART,6.500 TL,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh.","03 Aralık
2025"
zafer mah kiralık daire,8.000 TL,2+1,100,"Anadolu
Zafer Mah.","01 Aralık
2025"
BAHÇELİEVLER'DE ÇOK GENİŞ KİRALIK 1+0 ARAKAT APART,9.000 TL,Stüdyo (1+0),40,"Anadolu
Bahçelievler Mh.","04 Aralık
2025"
HIZIRBEY MAHALLESİNDE KİRALIK DAİRE,8.000 TL,2+1,110,"Kutlubey
Hızırbey Mh.","01 Aralık
2025"
FERAH 1+1 DAİRE,8.000 TL,1+1,60,"Kutlubey
Bağlar Mh.","30 Kasım
2025"
ÇÜNÜR MAHALLESİ KİRALIK SIFIR 2+1 APART,10.500 TL,2+1,60,"Anadolu
Çünür Mh.","30 Kasım
2025"
KİRALIK 1+1 STÜDYO DAİRE // YAKIT İNTERNET DAHİL,8.000 TL,1+1,38,"Anadolu
Modern Evler Mah.","03 Aralık
2025"
BALKONLU KİRALIK 1+1 DAİRE,13.500 TL,1+1,50,"Anadolu
Çünür Mh.","02 Aralık
2025"
Ana yola yakin esyalari iyi 2.kat 2+0 esyali apart,10.000 TL,2+0,46,"Anadolu
Bahçelievler Mh.","30 Kasım
2025"
STADYUM CİVARI ŞEHİR MERKEZİ YÜRÜME MESAFESİNDE KİRALIK APARTLAR,10.000 TL,1+1,40,Kepeci,"30 Kasım
2025"
Kiralık Daire,15.500 TL,2+1,110,"Anadolu
Çünür Mh.","30 Kasım
2025"
çünürde müstakil daire,13.000 TL,3+1,138,"Anadolu
Çünür Mh.","06 Aralık
2025"
ISPARTA MERKEZ FATİH MAH. 2+0 APART.,10.000 TL,2+0,35,"Kutlubey
Pirimehmet Mah.","03 Aralık
2025"
İSTİKLAL MAH KİRALIK 2+1 BALKONLU APART,16.000 TL,2+1,65,"Kepeci
İstiklal Mh.","30 Kasım
2025"
GEF GAYRİMENKUL'den ÇARŞIDA KİRALIK 3+1 DAİRE,22.500 TL,3+1,140,Kepeci,"30 Kasım
2025"
GEF GAYRİMENKUL'den ÖZKANLARDA KİRALIK 2+1 DAİRE,20.500 TL,2+1,100,"Kutlubey
Pirimehmet Mah.","30 Kasım
2025"
ÇELİKEV GAYRİMENKUL'DEN BAHÇELİEVLERDE YAKIT DAHİL 1+0 APART,6.500 TL,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh.","02 Aralık
2025"
MODERN EVLERDE HERŞEY DAHİL KİRALIK 1+0 APART,9.000 TL,Stüdyo (1+0),30,"Anadolu
Modern Evler Mah.","03 Aralık
2025"
ISPARTA MERKEZ FATİH MAH. 1+0 APART.,7.000 TL,Stüdyo (1+0),20,"Anadolu
Fatih Mah.","01 Aralık
2025"
32 ARTIBİR EMLAKTAN DOĞANCI MAHALLESİ'NDE 3+1 BAKIMLI DAİRE,11.000 TL,3+1,135,"Çelebiler
Doğancı Mh.","01 Aralık
2025"
,,,,,
Fatih mahallesi filika apart,10.000 TL,2+0,55,"Anadolu
Fatih Mah.","02 Aralık
2025"
MACRODAN MUZAFFER TÜRKEŞTE 3+1 KİRALIK DAİRE,24.000 TL,3+1,150,"Anadolu
Muzaffer Türkeş Mh.","30 Kasım
2025"
FATİH MAHALLESİNDE KİRALIK BAHÇE KAT 1+1 APART,8.000 TL,2+1,40,"Anadolu
Fatih Mah.","01 Aralık
2025"
"SAHİBİNDEN 3+1 EŞYALI, DOĞALGAZLI DAİRE",12.000 TL,3+1,95,"Anadolu
Bahçelievler Mh.","30 Kasım
2025"
PARLAİS EMLAKTAN KİRALIK 2+1 LÜX ŞEHİR HASTANESİNE YAKIN DAİRE,21.000 TL,2+1,90,"Kepeci
Davraz Mah.","01 Aralık
2025"
32 ARTIBİR EMLAKTAN İYAŞ AVM CİVARI 2+1 APART DAİRE,10.000 TL,2+1,55,"Anadolu
Fatih Mah.","02 Aralık
2025"
ÇÜNÜR YENİ TOKİDE KIRALIK SIFIR AYARINDA 2+1 KİLERLİ DAİRE,17.000 TL,2+1,110,"Anadolu
Çünür Mh.","01 Aralık
2025"
Fatih mah kiralık bahce kat 2+0 apart,7.000 TL,2+0,38,"Anadolu
Fatih Mah.","29 Kasım
2025"
"sahibinden 1+1 apart eşyalı , apart için arayın",7.400 TL,1+1,40,"Anadolu
Sanayi Mah.","29 Kasım
2025"
DİNÇER GYD-YEDİŞEHİTLER MAH ARA KAT 1+0 YAKIT NET DAHİL 7000₺,7.000 TL,Stüdyo (1+0),38,"Anadolu
Yedişehitler Mh.","29 Kasım
2025"
MODERNEVLER MAHALLESİ GİDERLER DAHİL 2+0 KİRALIK APART,11.000 TL,2+0,55,"Anadolu
Modern Evler Mah.","30 Kasım
2025"
METRO 3 SİTESİNDE GÜNEY CEPHE KİRALIK 3+1 DAİREMİZ,17.500 TL,3+1,168,"Çelebiler
Vatan Mah.","22 Kasım
2025"
IYAŞ AVM YE KOMŞU KİRALIK APART,9.500 TL,1+1,50,"Anadolu
Fatih Mah.","02 Aralık
2025"
"Kiralık IYAS AVM Yakını, 2+1 Sıfır Eşyalı Apart",12.000 TL,2+1,55,"Anadolu
Bahçelievler Mh.","29 Kasım
2025"
ISPARTA DEMİR KÖPRÜDE SİTE İÇİN DEKORE EDİLMİŞ ASANSÖRLÜ ARAKAT,16.500 TL,3+1,145,"Kepeci
Sermet Mah.","29 Kasım
2025"
ISPARTA SANAYİ MAHALLESİ'NDE KİRALIK DAİRE,35.000 TL,4+1,211,"Anadolu
Sanayi Mah.","03 Aralık
2025"
SAHİBİNDEN- -3+1--ÖZEL ISPARTA HASTANESİ YANI--CADDE ÜZERİ DAİRE,20.000 TL,3+1,140,"Anadolu
Sanayi Mah.","29 Kasım
2025"
ISPARTA MERKEZ FATİH MAH. 1+0 APART.,7.000 TL,Stüdyo (1+0),20,"Anadolu
Fatih Mah.","01 Aralık
2025"
,,,,,
ÇÜNÜR YOLU SHELL ARKASI NEVAPART 'TA LÜKS SIFIR 1+1,16.500 TL,1+1,42,"Anadolu
Çünür Mh.","29 Kasım
2025"
Sahibinden 2+1 full eşyalı kiralık apart çünür ana cadde üzeri,12.000 TL,2+1,45,"Anadolu
Çünür Mh.","29 Kasım
2025"
1+0 Yakıt İnternet Dahil Apart Daire,8.000 TL,Stüdyo (1+0),30,"Çelebiler
Sülübey Mh.","29 Kasım
2025"
ERGÜLSOLAK EMLAKTAN İSMETPAŞA CAD. 101 ÜSTÜ GÜNEYCEPHELİ 3+1....,27.000 TL,3+1,145,"Kutlubey
Hızırbey Mh.","30 Kasım
2025"
Modernevlerde kiralik 1+0 2.kat bireysel kombili apart daire,6.000 TL,Stüdyo (1+0),25,"Anadolu
Modern Evler Mah.","29 Kasım
2025"
SAHİBİNDEN SİTE İÇERİSİNDE 3+1 FERAH DAİRE,19.500 TL,3+1,185,"Kutlubey
Batıkent Mh.","29 Kasım
2025"
AYAZMANADA HALIKENT MAH. ALTINDA SIFIR 1+1 KİRALIK DAİRE,12.000 TL,1+1,60,"Çelebiler
Ayazmana Mah.","29 Kasım
2025"
PİRİMEHMET MAHALLESİNDE KİRALIK APART,11.000 TL,2+1,55,"Kutlubey
Pirimehmet Mah.","29 Kasım
2025"
Hızırbey Mahallesi Kiralık Kiralık Geniş 4+1 Daire,27.000 TL,4+1,210,"Kutlubey
Hızırbey Mh.","29 Kasım
2025"
ISPARTA MERKEZ MEYDAN AVMYE YAKIN 1+1 KİRALIK EŞYALI KIZ APARTI,9.000 TL,1+1,45,"Kutlubey
Bağlar Mh.","02 Aralık
2025"
KULE 246' KİRALIK GİRİŞ KAT 2+1,18.000 TL,2+1,90,"Kepeci
Davraz Mah.","29 Kasım
2025"
TIP FAKÜLTESİ KARŞISI KİRALIK 1+1 APART,16.000 TL,1+1,50,"Anadolu
Çünür Mh.","05 Aralık
2025"
DİNÇER GYD-MODERNEVLER MAH B.KOMBİLİ ARA KAT 2ODA 1MUTFAK 11.000,11.000 TL,2+1,55,"Anadolu
Modern Evler Mah.","01 Aralık
2025"
ÇARŞI MERKEZDE KİRALIK EŞYALI 75 m2 BALKONLU HERŞEY DAHİL APART,13.500 TL,2+1,75,"Kutlubey
Bağlar Mh.","29 Kasım
2025"
"ÇÜNÜR'DE İSTANBUL YOLU ÜZERİNDE,EŞYA­LI,SIFIR,LÜKS DAİRE",16.000 TL,1+1,45,"Anadolu
Çünür Mh.","29 Kasım
2025"
SAHİBİNDEN kiralık daire,19.500 TL,3+1,110,Kepeci,"29 Kasım
2025"
FATİH'DE HERŞEY DAHİL 1+1 APART,9.000 TL,1+1,45,"Anadolu
Fatih Mah.","01 Aralık
2025"
DİNÇER GYD-FATİH MAH ECZANE MEVKİ 2+1 DAİRELER 11.000₺,11.000 TL,2+1,58,"Anadolu
Fatih Mah.","29 Kasım
2025"
GÜLİSTAN MAHALLESİ EVİVA LİFE SİTESİNDE KİRALIK LÜKS 4+1 DAİRE,30.000 TL,4+1,170,"Kutlubey
Gülistan Mh.","22 Kasım
2025"
,,,,,
kiralık daire,23.500 TL,3+1,150,"Kutlubey
Batıkent Mh.","28 Kasım
2025"
Kiralık 2+1 apart,15.000 TL,2+1,60,"Anadolu
Fatih Mah.","28 Kasım
2025"
32 ARTIBİR EMLAKTAN ÇÜNÜR METRO VİZYON SİTESİ GÜVENLİK'Lİ LÜKS,30.000 TL,3+1,150,"Anadolu
Çünür Mh.","05 Aralık
2025"
32 ARTIBİR EMLAKTAN ADLİYE CİVARI ARAKAT GÜVENLİKLİ 4+1 DAİRE,28.000 TL,4+1,202,"Anadolu
Fatih Mah.","01 Aralık
2025"
KİRALIK 1+0,7.500 TL,Stüdyo (1+0),30,"Kutlubey
Pirimehmet Mah.","28 Kasım
2025"
Güneş Gayrimenkul 'den Çarşı Merkez'de Geniş 2+1 Eşyalı,12.000 TL,2+1,65,"Kutlubey
Pirimehmet Mah.","30 Kasım
2025"
Fatih Mahallesinde Balkonlu Kiralık 2+1 Apart,14.500 TL,2+1,50,"Anadolu
Fatih Mah.","28 Kasım
2025"
yedişehitlerde kiralık daire,13.250 TL,2+1,125,"Anadolu
Yedişehitler Mh.","28 Kasım
2025"
DAVRAZ MH. ŞAFAK SİTESİ ÇEVRE YOLU ÜZERİ 3+1 KİRALIK DAİRE,17.000 TL,3+1,130,"Kepeci
Davraz Mah.","28 Kasım
2025"
KİRALIK 2+1 SIFIR DAİRE ŞEHİR HASTANESİNE YÜRÜME MESAFESİNDE,25.500 TL,2+1,100,"Kepeci
Davraz Mah.","28 Kasım
2025"
ŞEHİR HASTANESİNE MALİYEYE ÇOK YAKIN KİRALIK 2+1 STÜDYO DAİRE,14.000 TL,2+1,65,"Kepeci
İstiklal Mh.","28 Kasım
2025"
Hızırbey Mahallesi 4+1 Kiralık Daire,35.000 TL,4+1,200,"Kutlubey
Hızırbey Mh.","28 Kasım
2025"
ŞEHİR MERKEZİNDE 3+1 BAKIMLI KİRALIK DAİRE,20.000 TL,3+1,145,"Çelebiler
İskender Mh.","28 Kasım
2025"
SAHİBİNDEN KIZ ÖĞRENCİYE FULL EŞYALI KİRALIK DAİRE,9.500 TL,1+1,55,"Anadolu
Modern Evler Mah.","28 Kasım
2025"
HAN EMLAKTAN BOCUZADE KARSISINDA SIFIR 1+1 LUKS REZIDANS DAIRE,22.000 TL,1+1,55,"Anadolu
Bahçelievler Mh.","28 Kasım
2025"
BEKA EMLAK'TAN YENİ ISIBU YANI 2+0 APART,10.000 TL,2+1,40,"Kutlubey
Hızırbey Mh.","29 Kasım
2025"
YAYLA MAH. KİRALIK 2+1 DAİRE/OFİS,14.000 TL,2+1,120,"Tokmacık
Yayla Mah.","28 Kasım
2025"
ISPARTA MERKEZ MEYDAN AVMYE YAKIN 1+0 KİRALIK EŞYALI KIZ APARTI,8.000 TL,Stüdyo (1+0),45,"Kutlubey
Bağlar Mh.","02 Aralık
2025"
ŞEHRİN EN GÜZEL SİTELERİNDEN BİRİ OLAN METRO CİTY DE 4+1 DAİRE,30.000 TL,4+1,195,"Anadolu
Fatih Mah.","28 Kasım
2025"
IYAŞPARK AVM KARŞISI 3+1 GENİŞ DAİRE,22.000 TL,3+1,170,"Anadolu
Fatih Mah.","01 Aralık
2025"
"ISPARTA MERKEZ, BAHÇELİEVLER MH. 2+1, 100 M2, KİRALIK DAİRE",10.000 TL,2+1,100,"Anadolu
Bahçelievler Mh.","27 Kasım
2025"
TEMİZ FERAH ARA KAT ÖN CEPHE KİRALIK DAİRE,19.000 TL,3+1,140,"Anadolu
Çünür Mh.","01 Aralık
2025"
Sahibinden bahçeli evlerde kiralık daire,8.000 TL,3+1,110,"Anadolu
Bahçelievler Mh.","27 Kasım
2025"
YEDİŞEHİTLERDE 3+1 DAİRE,10.000 TL,3+1,120,"Anadolu
Yedişehitler Mh.","27 Kasım
2025"
IYAŞ AVMYE YÜRÜME MESAFESİ KİRALI APART,10.500 TL,1+1,55,"Anadolu
Yedişehitler Mh.","27 Kasım
2025"
MEYDAN AVM YAKINI 3+1 ARA KAT GÜNEY CEPHELİ DAİRE,15.000 TL,3+1,145,"Kutlubey
Pirimehmet Mah.","27 Kasım
2025"
ÖZKANLARDA 2+1 KAPALI BALKONLU EŞYALI APART,11.000 TL,2+1,50,"Anadolu
Bahçelievler Mh.","27 Kasım
2025"
yedişehitlerde kiralık daire,13.250 TL,2+1,125,"Anadolu
Yedişehitler Mh.","28 Kasım
2025"
DAVRAZ MH. ŞAFAK SİTESİ ÇEVRE YOLU ÜZERİ 3+1 KİRALIK DAİRE,17.000 TL,3+1,130,"Kepeci
Davraz Mah.","28 Kasım
2025"
KİRALIK 2+1 SIFIR DAİRE ŞEHİR HASTANESİNE YÜRÜME MESAFESİNDE,25.500 TL,2+1,100,"Kepeci
Davraz Mah.","28 Kasım
2025"
ŞEHİR HASTANESİNE MALİYEYE ÇOK YAKIN KİRALIK 2+1 STÜDYO DAİRE,14.000 TL,2+1,65,"Kepeci
İstiklal Mh.","28 Kasım
2025"
Hızırbey Mahallesi 4+1 Kiralık Daire,35.000 TL,4+1,200,"Kutlubey
Hızırbey Mh.","28 Kasım
2025"
ŞEHİR MERKEZİNDE 3+1 BAKIMLI KİRALIK DAİRE,20.000 TL,3+1,145,"Çelebiler
İskender Mh.","28 Kasım
2025"
SAHİBİNDEN KIZ ÖĞRENCİYE FULL EŞYALI KİRALIK DAİRE,9.500 TL,1+1,55,"Anadolu
Modern Evler Mah.","28 Kasım
2025"
HAN EMLAKTAN BOCUZADE KARSISINDA SIFIR 1+1 LUKS REZIDANS DAIRE,22.000 TL,1+1,55,"Anadolu
Bahçelievler Mh.","28 Kasım
2025"
BEKA EMLAK'TAN YENİ ISIBU YANI 2+0 APART,10.000 TL,2+1,40,"Kutlubey
Hızırbey Mh.","29 Kasım
2025"
YAYLA MAH. KİRALIK 2+1 DAİRE/OFİS,14.000 TL,2+1,120,"Tokmacık
Yayla Mah.","28 Kasım
2025"
ISPARTA MERKEZ MEYDAN AVMYE YAKIN 1+0 KİRALIK EŞYALI KIZ APARTI,8.000 TL,Stüdyo (1+0),45,"Kutlubey
Bağlar Mh.","02 Aralık
2025"
ŞEHRİN EN GÜZEL SİTELERİNDEN BİRİ OLAN METRO CİTY DE 4+1 DAİRE,30.000 TL,4+1,195,"Anadolu
Fatih Mah.","28 Kasım
2025"
FATİH MAHALLES'İNDE KİRALIK 3+1 DAİRE,20.000 TL,3+1,150,"Anadolu
Fatih Mah.","29 Kasım
2025"
HIZIRBEY MAHALLESİ'NDE 1+1 KİRALIK DAİRE,12.000 TL,1+1,45,"Kutlubey
Hızırbey Mh.","27 Kasım
2025"
"Çünür Mahallesinde, 1 + 1 LÜKS, GENİŞ, FERAH Apart Dairesi",13.000 TL,1+1,45,"Anadolu
Çünür Mh.","27 Kasım
2025"
ÇAYBOYU'NDA KİRALIK 3+1 DAİRE,22.000 TL,3+1,160,"Çelebiler
Turan Mah.","27 Kasım
2025"
MUZAFFER TÜRKEŞ TE KİRALIK LÜKS 3+1 DAİRE,21.000 TL,3+1,145,"Anadolu
Muzaffer Türkeş Mh.","27 Kasım
2025"
OKÇU EMLAKTAN YEDİŞEHİTLERDE KİRALIK,10.000 TL,3+1,130,"Anadolu
Yedişehitler Mh.","26 Kasım
2025"
,,,,,
KİRALIK APART,12.000 TL,1+1,55,"Kutlubey
Pirimehmet Mah.","26 Kasım
2025"
ÇAYBOYUNDA 3+1 FULL EŞYALI AİLEYE UYGUN KİRALIK DAİRE,27.500 TL,3+1,140,"Çelebiler
Kurtuluş Mh.","26 Kasım
2025"
2+1 ıyaş ve otobüs duraklarına yürüme mesafesinde temiz apart,13.200 TL,2+1,37,"Anadolu
Bahçelievler Mh.","26 Kasım
2025"
Çünürde 1+1 lüx Apart doğal gazlı,12.000 TL,1+1,40,"Anadolu
Çünür Mh.","26 Kasım
2025"
SAHİBİNDEN ÇARŞI MERKEZ ISI+SU+ELEKTRİK KOTALI 1+1 APART,10.000 TL,1+1,30,"Kutlubey
Pirimehmet Mah.","26 Kasım
2025"
Sahibinden çünür yenişehirde 3+1 kiralık daire,22.500 TL,3+1,150,"Anadolu
Çünür Mh.","26 Kasım
2025"
MNS GAYRİMENKULDEN KİRALIK FATİH MAH 2+1 DAİRE,7.500 TL,2+1,90,"Anadolu
Fatih Mah.","26 Kasım
2025"
SAHİBİNDEN GENİŞ 1+0 HANEDAN ARKASI,9.000 TL,Stüdyo (1+0),35,"Anadolu
Fatih Mah.","26 Kasım
2025"
ADLİYEYE YAKIN 2+0 EŞYALI ÇATI KATI APART,9.000 TL,2+0,45,"Anadolu
Fatih Mah.","29 Kasım
2025"
Kiralık 2+1 Eşyalı Apart,14.000 TL,2+1,55,"Anadolu
Zafer Mah.","26 Kasım
2025"
Dr. Baridas'tan Eşyasız Kiralık 2+1,14.000 TL,2+1,65,"Anadolu
Çünür Mh.","27 Kasım
2025"
Alara apartta temiz genis,10.000 TL,1+1,40,"Anadolu
Yedişehitler Mh.","26 Kasım
2025"
AYD PLUS'TAN FATİHTE KİRALIK APART,12.500 TL,1+1,45,"Anadolu
Fatih Mah.","26 Kasım
2025"
Triplex bahçeli,14.000 TL,4+1,250,"Kutlubey
Binbirevler Mah.","26 Kasım
2025"
ÇAY BOYUNDA KİRALIK SIFIR YAPILI SÜPER MANZARALI 2+1 DAİRE,18.250 TL,2+1,110,"Çelebiler
Hisar Mah.","26 Kasım
2025"
ISUBÜ'YE YAKIN MERKEZDE KİRALIK ARA KAT 3+1 DAİRE,22.000 TL,3+1,140,"Tokmacık
Yayla Mah.","26 Kasım
2025"
DİNÇER GYD-IŞIKKENT GÜNEY-DOĞU-BATI CEPHE CAM BALKON 3+1 17.000₺,17.000 TL,3+1,145,"Kutlubey
Işıkkent Mh.","26 Kasım
2025"
3+1 KİRALIK DAİRE,21.000 TL,3+1,140,"Anadolu
Mehmet Tönge Mh.","26 Kasım
2025"
VATAN MAH OKTAY PETROL KARŞISI SIFIR 3+1 KİRALIK DAİRE,20.000 TL,3+1,140,"Çelebiler
Vatan Mah.","26 Kasım
2025"
DAVRAZ MAHALLESİ SİTE İÇİ ARAKAT 3+1 150 M2 KİRALIK DAİRE,18.000 TL,3+1,150,"Kepeci
Davraz Mah.","20 Kasım
2025"
ISPARTA DAVRAZ MAHALLESİNDE 2+1 KİRALIK DAİRE,17.500 TL,2+1,100,"Kepeci
Davraz Mah.","28 Kasım
2025"
ELİT'TEN M.GÖZÜTOK OKUL YAKINI KİRALIK 3+1 DAİRE;,19.500 TL,3+1,145,"Kepeci
Karaağaç Mh.","28 Kasım
2025"
YÜCEER GAYRİMENKUL BATIKENT MAHALLESİ SİTE İÇERİSİNDE 3+1 DAİRE,16.000 TL,3+1,130,"Kutlubey
Batıkent Mh.","26 Kasım
2025"
MODERNEVLERDE KİRALIK 2+1 APART,15.000 TL,2+1,50,"Anadolu
Modern Evler Mah.","26 Kasım
2025"
SAHİBİNDEN ADLIYEYE YAKINI YENI ÖĞRENCİ APARTI HERŞEY DAHİL,11.000 TL,2+1,45,"Anadolu
Fatih Mah.","26 Kasım
2025"
LİDER EMLAK Fatih mah geniş 1+1 yakıt internet dahil 10.000₺,10.000 TL,1+1,50,"Anadolu
Fatih Mah.","27 Kasım
2025"
ÇARŞI MERKEZDE KİRALIK 1+1 EŞYALI APART DAİRE,12.500 TL,1+1,55,"Çelebiler
İskender Mh.","25 Kasım
2025"
Sahibinden Merkezde 2+1 Daire Yeni Tadilatlı,14.000 TL,2+1,80,"Çelebiler
Gazi Kemal Mah.","25 Kasım
2025"
"Eşyasız, Merkezi Konumda, Sahibinden Kiralık Geniş 3+1",22.000 TL,3+1,140,"Anadolu
Bahçelievler Mh.","25 Kasım
2025"
AYAZMANADA KİRALIK BAKIMLI DAİRE,19.500 TL,3+1,140,"Çelebiler
Ayazmana Mah.","25 Kasım
2025"
1002 TOKİ KİRALIK 3+1,20.000 TL,3+1,119,"Anadolu
Çünür Mh.","25 Kasım
2025"
SİM YAPI RESİDANS LÜX 1+1,14.000 TL,1+1,55,"Anadolu
Çünür Mh.","25 Kasım
2025"
"SAHİBİNDEN, ÖĞRENCİYE KİRALIK DAİRE TAM EŞYALI, HERŞEY DAHİL",12.000 TL,2+1,44,"Anadolu
Fatih Mah.","25 Kasım
2025"
KİRALIK 1+1 APART,8.000 TL,1+1,35,"Anadolu
Bahçelievler Mh.","26 Kasım
2025"
Kiralık Yedişehitler Mah. 1+0 Eşyalı Apart,7.250 TL,Stüdyo (1+0),25,"Anadolu
Yedişehitler Mh.","27 Kasım
2025"
MODEREVLER MAHALLESİ YILDIRIM ŞEKERLEME ALTINDA 2+1 EŞYALI APART,10.500 TL,2+1,65,"Anadolu
Fatih Mah.","25 Kasım
2025"
SAHİBİNDEN SDÜ OTOBÜS DURAĞI KARŞISI 1+0 LÜX DAİRE,10.000 TL,Stüdyo (1+0),30,Kutlubey,"25 Kasım
2025"
Sahibinden Kiralık 2+1 Balkonlu Apart Daire,12.000 TL,2+1,50,"Anadolu
Modern Evler Mah.","25 Kasım
2025"
ISPARTA HİSAR MAHALLESİ'NDE 2+1 KİRALIK DAİRE,10.000 TL,2+1,80,"Çelebiler
Hisar Mah.","25 Kasım
2025"
Isparta apart mükemmel konumda 1+1,9.000 TL,1+1,40,"Anadolu
Bahçelievler Mh.","30 Kasım
2025"
MAK EMLAKTAN KİRALIK DEREGÜMEDE LÜX DAİRE,20.000 TL,3+1,150,"Köyler
Deregümü Köyü","25 Kasım
2025"
ÇÜNÜR MAHALLESİNDE KİRALIK EŞYALI FERAH 1+1 APART DAİRE,14.000 TL,1+1,50,"Anadolu
Çünür Mh.","26 Kasım
2025"
KULE246'DA KİRALIK LÜX SIFIR 4+1 DAİRE,40.000 TL,4+1,185,"Kepeci
Davraz Mah.","26 Kasım
2025"
SÖYLEYİCİLER VENÜSTE KİRALIK 3+1 YENİ DAİRE,26.000 TL,3+1,145,"Anadolu
Muzaffer Türkeş Mh.","25 Kasım
2025"
Deregümü Yeni Yolda Kiralık Arakat 3+1 Yeni Daire,20.000 TL,3+1,130,"Anadolu
Zafer Mah.","26 Kasım
2025"
ŞAHİNLER REZİDANS KİRALIK LÜKS 160 M2 3+1 KİRALIK DAİRE,25.000 TL,3+1,160,"Kepeci
Davraz Mah.","25 Kasım
2025"
32 ARTIBİR EMLAKTAN MODERNEVLERDE 1 +0 YAKIT İNTERNET AİDAT KİRA,8.000 TL,Stüdyo (1+0),33,"Anadolu
Modern Evler Mah.","27 Kasım
2025"
KOL ÇELİK KAVŞAĞINDA KİRALIK 3+1 DAİRE,15.500 TL,3+1,155,"Anadolu
Modern Evler Mah.","24 Kasım
2025"
BATIKENT MAH DOĞALGAZLI 2+1 KİRALIK DAİRE,11.000 TL,2+1,100,"Kutlubey
Batıkent Mh.","24 Kasım
2025"
KİRALIK 2+0 ARA KAT APART. Isparta Fatih Mahallesi'nde,8.500 TL,2+0,45,"Anadolu
Fatih Mah.","24 Kasım
2025"
FATİH MAHALLESİNDE KİRALIK 2+1 APART,9.500 TL,2+1,50,"Anadolu
Fatih Mah.","24 Kasım
2025"
,,,,,
HASTANE CADDESİNDE 3+1 KİRALIK DAİRE,17.000 TL,3+1,135,"Kutlubey
Hızırbey Mh.","24 Kasım
2025"
ÇÜNÜR TOKİ 1002 KONUTLARINDA SIFIR DAİRE,15.000 TL,2+1,120,"Anadolu
Çünür Mh.","24 Kasım
2025"
ISPARTA MERKEZ SANAYİ MAHALLESİNDE KİRALIK 3+1 DAİRE,19.000 TL,3+1,150,"Anadolu
Sanayi Mah.","24 Kasım
2025"
SERMETTE ÇALIŞANA BEKARA UYGUN 1+1 KİRALIK APART DAİRE,12.500 TL,1+1,45,"Kepeci
Sermet Mah.","24 Kasım
2025"
7 OCAKTAN İTİBAREN KİRALIK ESLİFE DA 40 M 1+0,11.000 TL,Stüdyo (1+0),50,"Anadolu
Çünür Mh.","24 Kasım
2025"
ÇÜNÜRDE KİRALIK 3+1 DAİRE,22.000 TL,3+1,140,"Anadolu
Çünür Mh.","24 Kasım
2025"
DİNÇER GYD-ÖZKANLAR CADDE DİBİNDE GENİŞ 2+1 HERŞEY DAHİL 15.000₺,15.000 TL,2+1,65,"Anadolu
Bahçelievler Mh.","25 Kasım
2025"
Sahibinden Eşyalı VIP Geniş 1+1 apart,14.000 TL,1+1,53,"Anadolu
Çünür Mh.","24 Kasım
2025"
İyaş Anayol Üzerinde Lüks 1+0 Daire Herşey Dahil,6.000 TL,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh.","24 Kasım
2025"
Isparta ordu evi arkası,20.000 TL,1+1,65,"Çelebiler
İskender Mh.","24 Kasım
2025"
,,,,,
KAYA EMLAKTAN ÇÜNÜR MAH.KİRALIK 3+1 DAİRE,22.000 TL,3+1,155,"Anadolu
Çünür Mh.","25 Kasım
2025"
ISPARTA SERMET MAHALLESİNDE 2+1 KİRALIK APART,13.500 TL,2+1,55,"Kepeci
Sermet Mah.","25 Kasım
2025"
ISPARTA DEREGÜMÜ MAHALLESİ'NDE 3+1 KİRALIK DAİRE,20.000 TL,3+1,135,"Anadolu
Muzaffer Türkeş Mh.","24 Kasım
2025"
Sahibinden mükemmel konumda 3+1 130 metrekare daire,14.500 TL,3+1,145,"Anadolu
Modern Evler Mah.","24 Kasım
2025"
ISPARTA MERKEZ ÇÜNÜRDE 1+1 KİRALIK ESYALI APART,8.500 TL,1+1,45,"Anadolu
Çünür Mh.","27 Kasım
2025"
